facility_id,day,total_staff,nurses_on_duty,doctors_on_duty,beds_occupied,beds_available,patient_visits,avg_congestion,weighted_demand,staff_to_patient_ratio,beds_occupancy_ratio
HF_L4_004,4/18/2023,47,44,23,203,133,26,345.8846154,31,1.740740741,1.526315789
HF_L4_004,4/19/2023,68,50,24,182,82,27,293.2592593,42,2.428571429,2.219512195
HF_L4_004,4/20/2023,67,36,21,230,96,29,338.6551724,32,2.233333333,2.395833333
HF_L4_004,4/21/2023,60,39,25,202,100,44,326.3863636,61,1.333333333,2.02
HF_L4_004,4/22/2023,59,51,23,267,126,31,307.9677419,43,1.84375,2.119047619
HF_L4_004,4/23/2023,59,52,14,188,116,38,326.8947368,56,1.512820513,1.620689655
HF_L4_004,4/24/2023,76,41,28,190,81,38,239.4210526,56,1.948717949,2.345679012
HF_L4_004,4/25/2023,70,39,25,219,120,41,283.1219512,62,1.666666667,1.825
HF_L4_004,4/26/2023,62,47,23,243,98,36,310.9166667,47,1.675675676,2.479591837
HF_L4_004,4/27/2023,91,38,25,226,87,40,323.85,43,2.219512195,2.597701149
HF_L4_004,4/28/2023,66,49,25,215,79,40,329.275,65,1.609756098,2.721518987
HF_L4_004,4/29/2023,45,46,18,164,97,44,325.8636364,58,1,1.690721649
HF_L4_004,4/30/2023,57,39,19,263,87,35,319.6,56,1.583333333,3.022988506
HF_L4_004,5/1/2023,74,52,25,130,113,37,329.2972973,51,1.947368421,1.150442478
HF_L4_004,5/2/2023,63,41,13,172,109,34,325.9705882,54,1.8,1.577981651
HF_L4_004,5/3/2023,48,38,18,208,85,31,315.9032258,42,1.5,2.447058824
HF_L4_004,5/4/2023,76,27,11,231,93,24,327.5833333,34,3.04,2.483870968
HF_L4_004,5/5/2023,69,40,15,298,86,36,315.8055556,43,1.864864865,3.465116279
HF_L4_004,5/6/2023,40,45,23,196,101,34,308.2647059,44,1.142857143,1.940594059
HF_L4_004,5/7/2023,79,37,17,225,87,28,228.0714286,44,2.724137931,2.586206897
HF_L4_004,5/8/2023,65,39,27,262,99,32,343.84375,41,1.96969697,2.646464646
HF_L4_004,5/9/2023,60,38,23,253,92,29,247.6551724,41,2,2.75
HF_L4_004,5/10/2023,58,55,16,292,95,40,294.9,46,1.414634146,3.073684211
HF_L4_004,5/11/2023,62,32,19,199,86,26,311.8076923,42,2.296296296,2.313953488
HF_L4_004,5/12/2023,68,27,26,177,118,37,331.027027,49,1.789473684,1.5
HF_L4_004,5/13/2023,52,33,23,238,104,30,252.2333333,57,1.677419355,2.288461538
HF_L4_004,5/14/2023,57,32,20,230,94,24,224.3333333,37,2.28,2.446808511
HF_L4_004,5/15/2023,81,34,23,184,82,30,329.4333333,42,2.612903226,2.243902439
HF_L4_004,5/16/2023,69,34,22,256,92,36,318.8611111,52,1.864864865,2.782608696
HF_L4_004,5/17/2023,65,46,24,220,125,33,317.1212121,59,1.911764706,1.76
HF_L4_004,5/18/2023,86,41,21,212,105,36,285.1944444,44,2.324324324,2.019047619
HF_L4_004,5/19/2023,77,37,21,201,110,34,298.8235294,58,2.2,1.827272727
HF_L4_004,5/20/2023,72,45,14,225,95,37,322.8378378,53,1.894736842,2.368421053
HF_L4_004,5/21/2023,67,32,25,188,112,34,329.6470588,50,1.914285714,1.678571429
HF_L4_004,5/22/2023,72,41,26,179,107,34,288.8235294,52,2.057142857,1.672897196
HF_L4_004,5/23/2023,64,32,23,281,96,34,298.6470588,51,1.828571429,2.927083333
HF_L4_004,5/24/2023,69,46,26,162,101,27,336.5185185,38,2.464285714,1.603960396
HF_L4_004,5/25/2023,67,26,19,147,86,27,249.1851852,47,2.392857143,1.709302326
HF_L4_004,5/26/2023,53,52,24,258,85,30,304.0333333,44,1.709677419,3.035294118
HF_L4_004,5/27/2023,74,38,24,254,102,28,317.8571429,40,2.551724138,2.490196078
HF_L4_004,5/28/2023,72,30,13,201,113,22,255.2272727,43,3.130434783,1.778761062
HF_L4_004,5/29/2023,55,51,18,222,95,32,348.34375,61,1.666666667,2.336842105
HF_L4_004,5/30/2023,65,53,14,226,106,43,309.3953488,72,1.477272727,2.132075472
HF_L4_004,5/31/2023,76,54,27,175,81,33,340.9393939,55,2.235294118,2.160493827
HF_L4_004,6/1/2023,66,36,14,166,87,34,283.2058824,52,1.885714286,1.908045977
HF_L4_004,6/2/2023,53,44,20,221,118,27,322.8888889,44,1.892857143,1.872881356
HF_L4_004,6/3/2023,61,45,20,243,110,21,310.7619048,35,2.772727273,2.209090909
HF_L4_004,6/4/2023,65,44,26,138,86,39,308.7435897,63,1.625,1.604651163
HF_L4_004,6/5/2023,52,36,21,172,99,37,305.6486486,68,1.368421053,1.737373737
HF_L4_004,6/6/2023,64,59,24,217,118,26,329.6923077,34,2.37037037,1.838983051
HF_L4_004,6/7/2023,62,34,23,210,95,35,314.9142857,46,1.722222222,2.210526316
HF_L4_004,6/8/2023,75,40,30,234,108,38,301.0526316,53,1.923076923,2.166666667
HF_L4_004,6/9/2023,45,38,26,174,87,36,303.2222222,51,1.216216216,2
HF_L4_004,6/10/2023,67,33,30,206,121,37,311.972973,47,1.763157895,1.702479339
HF_L4_004,6/11/2023,51,45,14,208,76,32,313.96875,41,1.545454545,2.736842105
HF_L4_004,6/12/2023,67,34,17,291,122,34,236.6176471,43,1.914285714,2.385245902
HF_L4_004,6/13/2023,51,46,27,136,103,44,284.4545455,71,1.133333333,1.32038835
HF_L4_004,6/14/2023,59,39,26,238,108,34,267.7941176,57,1.685714286,2.203703704
HF_L4_004,6/15/2023,48,40,30,206,93,34,331.2647059,45,1.371428571,2.215053763
HF_L4_004,6/16/2023,78,37,22,226,99,40,302.675,46,1.902439024,2.282828283
HF_L4_004,6/17/2023,61,28,19,246,94,37,354.8378378,42,1.605263158,2.617021277
HF_L4_004,6/18/2023,53,31,28,256,105,28,275.2857143,42,1.827586207,2.438095238
HF_L4_004,6/19/2023,56,35,21,157,96,35,278.8571429,57,1.555555556,1.635416667
HF_L4_004,6/20/2023,58,46,21,237,115,32,282.59375,38,1.757575758,2.060869565
HF_L4_004,6/21/2023,61,42,23,257,94,43,342.3488372,56,1.386363636,2.734042553
HF_L4_004,6/22/2023,67,35,21,238,121,41,317.804878,52,1.595238095,1.966942149
HF_L4_004,6/23/2023,62,22,24,220,101,37,297.0810811,52,1.631578947,2.178217822
HF_L4_004,6/24/2023,67,46,21,272,112,23,289.8695652,25,2.791666667,2.428571429
HF_L4_004,6/25/2023,44,43,16,181,123,37,307.5675676,38,1.157894737,1.471544715
HF_L4_004,6/26/2023,59,51,17,215,92,29,314.4137931,40,1.966666667,2.336956522
HF_L4_004,6/27/2023,74,26,23,167,88,39,305.2564103,73,1.85,1.897727273
HF_L4_004,6/28/2023,53,44,14,226,118,34,308,49,1.514285714,1.915254237
HF_L4_004,6/29/2023,61,33,18,288,92,29,329.862069,41,2.033333333,3.130434783
HF_L4_004,6/30/2023,44,49,23,123,96,41,332.5609756,54,1.047619048,1.28125
HF_L4_004,7/1/2023,72,42,20,139,125,35,298.0857143,55,2,1.112
HF_L4_004,7/2/2023,56,38,23,220,101,29,318.4482759,37,1.866666667,2.178217822
HF_L4_004,7/3/2023,50,25,17,221,116,33,303.969697,46,1.470588235,1.905172414
HF_L4_004,7/4/2023,53,53,26,255,71,32,354.125,35,1.606060606,3.591549296
HF_L4_004,7/5/2023,40,25,24,139,90,30,315.5,45,1.290322581,1.544444444
HF_L4_004,7/6/2023,66,40,22,235,105,35,308.2571429,52,1.833333333,2.238095238
HF_L4_004,7/7/2023,70,44,17,204,92,33,274.9090909,40,2.058823529,2.217391304
HF_L4_004,7/8/2023,61,35,19,283,94,43,310.4418605,70,1.386363636,3.010638298
HF_L4_004,7/9/2023,61,33,21,206,87,35,320.9142857,62,1.694444444,2.367816092
HF_L4_004,7/10/2023,64,45,21,197,129,27,272.3333333,37,2.285714286,1.527131783
HF_L4_004,7/11/2023,67,26,22,215,85,35,291.1428571,43,1.861111111,2.529411765
HF_L4_004,7/12/2023,58,36,18,236,92,30,327.3333333,46,1.870967742,2.565217391
HF_L4_004,7/13/2023,66,57,25,152,95,29,306.2413793,46,2.2,1.6
HF_L4_004,7/14/2023,55,20,14,238,81,44,266.5,58,1.222222222,2.938271605
HF_L4_004,7/15/2023,66,43,19,276,113,26,330.0769231,38,2.444444444,2.442477876
HF_L4_004,7/16/2023,62,45,18,148,132,25,261.28,35,2.384615385,1.121212121
HF_L4_004,7/17/2023,57,46,22,217,101,49,315.2040816,73,1.14,2.148514851
HF_L4_004,7/18/2023,59,40,16,234,93,36,281.0833333,56,1.594594595,2.516129032
HF_L4_004,7/19/2023,67,55,15,248,67,38,282.4473684,61,1.717948718,3.701492537
HF_L4_004,7/20/2023,79,29,19,156,80,29,297.5862069,47,2.633333333,1.95
HF_L4_004,7/21/2023,62,34,16,247,127,28,288.7142857,47,2.137931034,1.94488189
HF_L4_004,7/22/2023,51,25,22,210,108,34,319.8823529,50,1.457142857,1.944444444
HF_L4_004,7/23/2023,81,37,26,237,90,33,313.5454545,58,2.382352941,2.633333333
HF_L4_004,7/24/2023,87,42,18,169,111,46,331.6304348,70,1.85106383,1.522522523
HF_L4_004,7/25/2023,73,45,20,129,98,31,265.0967742,45,2.28125,1.316326531
HF_L4_004,7/26/2023,60,48,13,224,117,33,278.8484848,57,1.764705882,1.914529915
HF_L4_004,7/27/2023,62,43,26,183,98,40,316.825,57,1.512195122,1.867346939
HF_L4_004,7/28/2023,39,36,17,208,77,35,288.6285714,51,1.083333333,2.701298701
HF_L4_004,7/29/2023,49,48,20,197,73,39,280.8974359,76,1.225,2.698630137
HF_L4_004,7/30/2023,76,44,30,167,118,40,318.125,65,1.853658537,1.415254237
HF_L4_004,7/31/2023,65,37,17,212,82,30,249.4666667,42,2.096774194,2.585365854
HF_L4_004,8/1/2023,76,35,19,267,124,35,298.2285714,41,2.111111111,2.153225806
HF_L4_004,8/2/2023,48,49,24,189,95,30,324.4666667,51,1.548387097,1.989473684
HF_L4_004,8/3/2023,66,36,15,178,95,28,286.9642857,43,2.275862069,1.873684211
HF_L4_004,8/4/2023,45,28,24,247,78,33,311.3030303,47,1.323529412,3.166666667
HF_L4_004,8/5/2023,54,38,17,172,88,38,292.6842105,62,1.384615385,1.954545455
HF_L4_004,8/6/2023,51,44,17,169,85,33,314.9090909,44,1.5,1.988235294
HF_L4_004,8/7/2023,70,51,21,183,102,35,325.2857143,51,1.944444444,1.794117647
HF_L4_004,8/8/2023,74,31,21,215,74,35,249.4857143,51,2.055555556,2.905405405
HF_L4_004,8/9/2023,58,41,22,213,80,43,280.7906977,68,1.318181818,2.6625
HF_L4_004,8/10/2023,78,38,24,160,79,30,254.4333333,45,2.516129032,2.025316456
HF_L4_004,8/11/2023,53,52,28,224,116,33,282.8181818,50,1.558823529,1.931034483
HF_L4_004,8/12/2023,52,42,18,201,81,38,267.7368421,55,1.333333333,2.481481481
HF_L4_004,8/13/2023,54,46,18,246,121,27,278.6296296,27,1.928571429,2.033057851
HF_L4_004,8/14/2023,70,33,24,246,92,29,316.5517241,40,2.333333333,2.673913043
HF_L4_004,8/15/2023,43,56,25,202,72,33,303.4848485,50,1.264705882,2.805555556
HF_L4_004,8/16/2023,64,34,22,241,117,26,288.1538462,34,2.37037037,2.05982906
HF_L4_004,8/17/2023,67,46,23,211,94,37,307.1351351,63,1.763157895,2.244680851
HF_L4_004,8/18/2023,70,49,23,139,129,34,358.0588235,50,2,1.07751938
HF_L4_004,8/19/2023,64,50,30,219,103,29,287.9655172,52,2.133333333,2.126213592
HF_L4_004,8/20/2023,39,37,20,216,121,28,317.6428571,47,1.344827586,1.785123967
HF_L4_004,8/21/2023,53,32,24,190,84,25,267.84,41,2.038461538,2.261904762
HF_L4_004,8/22/2023,40,46,18,177,96,30,301.8666667,42,1.290322581,1.84375
HF_L4_004,8/23/2023,84,34,23,187,88,33,307.6666667,59,2.470588235,2.125
HF_L4_004,8/24/2023,42,46,24,223,93,28,324.1428571,43,1.448275862,2.397849462
HF_L4_004,8/25/2023,72,40,27,185,80,31,280.0322581,55,2.25,2.3125
HF_L4_004,8/26/2023,70,29,24,156,106,29,325.7586207,52,2.333333333,1.471698113
HF_L4_004,8/27/2023,68,48,21,204,104,35,296.8857143,59,1.888888889,1.961538462
HF_L4_004,8/28/2023,76,42,21,172,100,35,312.3142857,51,2.111111111,1.72
HF_L4_004,8/29/2023,60,58,20,202,119,30,293.8666667,46,1.935483871,1.697478992
HF_L4_004,8/30/2023,55,38,27,142,118,28,300.0357143,37,1.896551724,1.203389831
HF_L4_004,8/31/2023,72,35,23,257,107,33,255.0909091,44,2.117647059,2.401869159
HF_L4_004,9/1/2023,57,33,18,266,111,30,296.0666667,43,1.838709677,2.396396396
HF_L4_004,9/2/2023,63,46,25,150,111,32,308.71875,45,1.909090909,1.351351351
HF_L4_004,9/3/2023,51,51,20,146,78,27,303.0740741,37,1.821428571,1.871794872
HF_L4_004,9/4/2023,83,32,25,195,124,24,301.0416667,43,3.32,1.572580645
HF_L4_004,9/5/2023,62,40,18,141,110,28,290.6071429,48,2.137931034,1.281818182
HF_L4_004,9/6/2023,74,38,19,155,146,29,290.1724138,41,2.466666667,1.061643836
HF_L4_004,9/7/2023,56,41,16,321,103,35,270.2,50,1.555555556,3.116504854
HF_L4_004,9/8/2023,81,47,33,183,133,30,291.5333333,54,2.612903226,1.37593985
HF_L4_004,9/9/2023,78,48,21,166,110,34,259.0294118,42,2.228571429,1.509090909
HF_L4_004,9/10/2023,63,31,26,176,106,28,364.6071429,41,2.172413793,1.660377358
HF_L4_004,9/11/2023,58,29,16,167,65,43,326.1627907,69,1.318181818,2.569230769
HF_L4_004,9/12/2023,60,36,22,182,94,26,293.3076923,36,2.222222222,1.936170213
HF_L4_004,9/13/2023,73,35,23,216,104,30,279.6666667,48,2.35483871,2.076923077
HF_L4_004,9/14/2023,50,51,22,171,115,38,313.7368421,52,1.282051282,1.486956522
HF_L4_004,9/15/2023,63,39,18,160,79,30,280.2333333,48,2.032258065,2.025316456
HF_L4_004,9/16/2023,87,25,25,285,99,34,279.9705882,58,2.485714286,2.878787879
HF_L4_004,9/17/2023,63,44,17,239,104,40,275.25,49,1.536585366,2.298076923
HF_L4_004,9/18/2023,56,49,27,261,72,21,319.8571429,33,2.545454545,3.625
HF_L4_004,9/19/2023,75,41,22,135,134,29,246.2758621,43,2.5,1.007462687
HF_L4_004,9/20/2023,61,39,25,134,73,29,296.2413793,55,2.033333333,1.835616438
HF_L4_004,9/21/2023,49,43,28,275,87,30,295.2666667,48,1.580645161,3.16091954
HF_L4_004,9/22/2023,85,40,25,186,89,28,279.25,43,2.931034483,2.08988764
HF_L4_004,9/23/2023,65,47,28,180,78,29,302.8275862,39,2.166666667,2.307692308
HF_L4_004,9/24/2023,55,40,21,201,86,26,290.1923077,36,2.037037037,2.337209302
HF_L4_004,9/25/2023,73,34,33,202,110,32,256.40625,43,2.212121212,1.836363636
HF_L4_004,9/26/2023,62,44,25,299,106,28,304.7857143,50,2.137931034,2.820754717
HF_L4_004,9/27/2023,56,31,20,223,62,29,320.4827586,50,1.866666667,3.596774194
HF_L4_004,9/28/2023,86,31,16,135,116,34,265.3529412,45,2.457142857,1.163793103
HF_L4_004,9/29/2023,76,52,24,256,91,33,307.6969697,55,2.235294118,2.813186813
HF_L4_004,9/30/2023,79,37,15,250,68,31,283.1935484,54,2.46875,3.676470588
HF_L4_004,10/1/2023,56,40,14,196,110,33,247.3030303,56,1.647058824,1.781818182
HF_L4_004,10/2/2023,62,22,20,252,113,25,302.36,42,2.384615385,2.230088496
HF_L4_004,10/3/2023,55,30,23,138,137,21,321.2380952,26,2.5,1.00729927
HF_L4_004,10/4/2023,87,33,19,191,100,41,326.2926829,70,2.071428571,1.91
HF_L4_004,10/5/2023,62,46,27,226,110,45,297.1777778,56,1.347826087,2.054545455
HF_L4_004,10/6/2023,62,28,23,223,65,35,293.8857143,59,1.722222222,3.430769231
HF_L4_004,10/7/2023,77,30,20,247,137,33,296.0909091,55,2.264705882,1.802919708
HF_L4_004,10/8/2023,71,36,22,164,95,35,290.4285714,55,1.972222222,1.726315789
HF_L4_004,10/9/2023,65,33,17,181,78,25,244.04,36,2.5,2.320512821
HF_L4_004,10/10/2023,63,42,24,261,76,29,285,40,2.1,3.434210526
HF_L4_004,10/11/2023,39,35,21,208,76,34,306.3823529,48,1.114285714,2.736842105
HF_L4_004,10/12/2023,66,31,21,171,107,39,275.9230769,67,1.65,1.598130841
HF_L4_004,10/13/2023,44,45,21,198,109,42,315.4285714,66,1.023255814,1.816513761
HF_L4_004,10/14/2023,66,34,26,117,84,20,314.05,30,3.142857143,1.392857143
HF_L4_004,10/15/2023,67,52,21,193,99,30,328.4666667,51,2.161290323,1.949494949
HF_L4_004,10/16/2023,77,41,22,225,74,35,270.7142857,64,2.138888889,3.040540541
HF_L4_004,10/17/2023,57,34,23,193,104,25,268.48,38,2.192307692,1.855769231
HF_L4_004,10/18/2023,76,49,24,293,85,40,301.3,59,1.853658537,3.447058824
HF_L4_004,10/19/2023,69,36,17,111,115,40,297.175,59,1.682926829,0.965217391
HF_L4_004,10/20/2023,73,29,18,183,82,36,281.1111111,57,1.972972973,2.231707317
HF_L4_004,10/21/2023,59,35,27,192,91,36,236.3888889,50,1.594594595,2.10989011
HF_L4_004,10/22/2023,75,42,23,176,129,37,278.5135135,51,1.973684211,1.364341085
HF_L4_004,10/23/2023,52,51,21,263,93,32,265.4375,37,1.575757576,2.827956989
HF_L4_004,10/24/2023,85,33,22,142,132,30,270.3,48,2.741935484,1.075757576
HF_L4_004,10/25/2023,61,34,20,232,103,32,268.125,54,1.848484848,2.252427184
HF_L4_004,10/26/2023,63,50,22,103,97,32,363.65625,50,1.909090909,1.06185567
HF_L4_004,10/27/2023,61,38,19,179,117,32,319.21875,52,1.848484848,1.52991453
