facility_id,day,beds_occupied,beds_available,total_staff,patient_load,occupancy_ratio,staff_to_patient_ratio,overload_flag,occupancy_7d_avg,occupancy_14d_avg
HF_L4_004,2023-01-16,7515.0,3375,3600,55144.0,2.2266666666666666,0.0652824372109892,1,2.128359018739179,1.9680200077032663
HF_L4_004,2023-01-17,5510.0,3306,1566,36028.0,1.6666666666666667,0.0434649865386216,1,2.124987758730751,1.963100684602125
HF_L4_004,2023-01-18,4900.0,1950,1575,27572.0,2.5128205128205128,0.0571210967250571,1,2.2048923502632496,2.019101181280588
HF_L4_004,2023-01-19,5846.0,2072,2516,44668.0,2.821428571428572,0.0563254158364861,1,2.288365945887066,2.0631817167205706
HF_L4_004,2023-01-20,4719.0,2640,2541,39532.0,1.7875,0.0642754154756785,1,2.1383659458870663,2.087256684545538
HF_L4_004,2023-01-21,8604.0,2952,2592,38332.0,2.914634146341464,0.0676179792867764,1,2.167904371287372,2.1725876949985
HF_L4_004,2023-01-22,5304.0,3783,3276,43824.0,1.402061855670103,0.074751853964632,1,2.190254059941998,2.18193593892651
HF_L4_004,2023-01-23,8897.0,4961,2132,47252.0,1.793388429752066,0.0451188284341734,1,2.1283571689541976,2.1283580938466886
HF_L4_004,2023-01-24,8520.0,2490,2010,39508.0,3.421686746987952,0.0508744842947176,1,2.37907432328581,2.2520310410082804
HF_L4_004,2023-01-25,5434.0,3572,2166,50148.0,1.5212765957446808,0.0431912899559313,1,2.237425192274977,2.221158771269113
HF_L4_004,2023-01-26,6136.0,3302,1508,28808.0,1.858267716535433,0.0523447533756812,1,2.0998307844331,2.194098365160083
HF_L4_004,2023-01-27,7712.0,3104,2208,33584.0,2.484536082474227,0.0657436355515855,1,2.199407367643704,2.168886656765385
HF_L4_004,2023-01-28,8768.0,3136,1824,37484.0,2.795918367346939,0.0486594637855142,1,2.182447970644486,2.1751761709659285
HF_L4_004,2023-01-29,4620.0,2134,1056,30088.0,2.1649484536082477,0.0350958822160922,1,2.2914317703499347,2.2408429151459663
HF_L4_004,2023-01-30,4752.0,1672,1452,24772.0,2.8421052631578947,0.0586121987647842,1,2.441248460836482,2.28480281489534
HF_L4_004,2023-01-31,5382.0,2277,1679,32280.0,2.363636363636364,0.052012019454168,1,2.2900984060719694,2.33458636467889
HF_L4_004,2023-02-01,7980.0,2460,1590,29232.0,3.2439024390243905,0.0543905859815961,1,2.5361878122547847,2.386806502264881
HF_L4_004,2023-02-02,11528.0,3036,2816,48104.0,3.7971014492753614,0.0585386134497453,1,2.8131640597890604,2.45649742211108
HF_L4_004,2023-02-03,6528.0,3094,1904,36080.0,2.10989010989011,0.0527701560378038,1,2.7596432065627576,2.4795252871032303
HF_L4_004,2023-02-04,6204.0,3135,2112,40536.0,1.9789473684210528,0.05210055011471,1,2.6429330638590605,2.412690517251773
HF_L4_004,2023-02-05,8103.0,3478,1369,46624.0,2.3297872340425534,0.0293619302949061,1,2.6664814610639604,2.478956615706948
HF_L4_004,2023-02-06,11240.0,4480,2840,45224.0,2.508928571428572,0.0627971254836926,1,2.6188847908169146,2.5300666258266986
HF_L4_004,2023-02-07,6336.0,2596,1034,25320.0,2.440677966101695,0.0408356699972354,1,2.629890734026248,2.459994570049109
HF_L4_004,2023-02-08,5984.0,3744,2240,38028.0,1.5982905982905984,0.0589024165768229,1,2.394803328207135,2.46549557023096
HF_L4_004,2023-02-09,7990.0,4318,2040,38224.0,1.8503937007874016,0.0533682145192936,1,2.116702221280283,2.464933140534672
HF_L4_004,2023-02-10,7719.0,3441,2418,36984.0,2.2432432432432434,0.0653778558875219,1,2.1357526689021595,2.447697937732459
HF_L4_004,2023-02-11,8428.0,5375,3311,49780.0,1.568,0.0665113195797593,1,2.0770459019848664,2.3599894829219634
HF_L4_004,2023-02-12,6633.0,2475,2442,40696.0,2.68,0.0600044229304371,1,2.1270762971216444,2.396778879092803
HF_L4_004,2023-02-13,8732.0,3626,2257,43908.0,2.4081632653061225,0.0514017627365688,1,2.1126812533898662,2.36578302210339
HF_L4_004,2023-02-14,6776.0,2520,2044,29728.0,2.688888888888889,0.0687544148810925,1,2.148139956645179,2.389015345335713
HF_L4_004,2023-02-15,9009.0,3432,2409,37716.0,2.625,0.0638704032664315,1,2.294812728317951,2.3448080282625425
HF_L4_004,2023-02-16,7560.0,3660,2070,34000.0,2.065573770491804,0.0608805623364018,1,2.3255527382757224,2.2211274797780027
HF_L4_004,2023-02-17,6912.0,3492,2664,41728.0,1.9793814432989687,0.0638404946200484,1,2.2878581954265407,2.21180543216435
HF_L4_004,2023-02-18,6549.0,3626,2257,47224.0,1.806122448979592,0.0477924827951296,1,2.321875688137911,2.1994607950613885
HF_L4_004,2023-02-19,6016.0,3584,2752,43104.0,1.6785714285714286,0.0638441016123419,1,2.178814463648115,2.1529453803848795
HF_L4_004,2023-02-20,7416.0,2772,1872,45380.0,2.675324675324675,0.0412507437033119,1,2.216980379365051,2.1648308163774583
HF_L4_004,2023-02-21,5162.0,2146,1682,36984.0,2.4054054054054053,0.0454778964445045,1,2.1764827388674104,2.162311347756295
HF_L4_004,2023-02-22,4940.0,1716,1482,30252.0,2.878787878787879,0.0489868773344792,1,2.2127381501228216,2.2537754392203864
HF_L4_004,2023-02-23,9000.0,2400,1950,34792.0,3.75,0.0560457563302963,1,2.453370468623993,2.389461603449857
HF_L4_004,2023-02-24,5439.0,3256,2738,46028.0,1.6704545454545454,0.0594842381976579,1,2.409238054646217,2.34854812503638
HF_L4_004,2023-02-25,5859.0,3213,1485,30484.0,1.8235294117647056,0.0487124815483024,1,2.41172476361552,2.366800225876716
HF_L4_004,2023-02-26,5670.0,2800,2835,41708.0,2.025,0.0679709415234122,1,2.461214559533887,2.320014511591001
HF_L4_004,2023-02-27,4192.0,2784,1984,37600.0,1.5057471264367817,0.0527645541341985,1,2.2941320525499025,2.2555562159574767
HF_L4_004,2023-02-28,5460.0,2520,1624,30296.0,2.1666666666666665,0.0536026669307192,1,2.2600265184443686,2.218254628655889
HF_L4_004,2023-03-01,6324.0,3782,2480,37996.0,1.6721311475409837,0.0652683106561044,1,2.0876469854090978,2.15019256776596
HF_L4_004,2023-03-02,7946.0,2291,1827,33844.0,3.4683544303797467,0.0539813857290589,1,2.047411904034776,2.250391186329384
HF_L4_004,2023-03-03,9196.0,3960,2992,49400.0,2.3222222222222224,0.0605655755956357,1,2.140521572144444,2.274879813395331
HF_L4_004,2023-03-04,4884.0,3959,2146,49084.0,1.233644859813084,0.043720077416726,1,2.0562523504370693,2.2339885570262945
HF_L4_004,2023-03-05,6517.0,4802,3185,60284.0,1.3571428571428572,0.0528323795305631,1,1.960844187171763,2.211029373352825
HF_L4_004,2023-03-06,3936.0,3136,2496,37316.0,1.2551020408163265,0.0668864056596189,1,1.9250377463688408,2.109584899459372
HF_L4_004,2023-03-07,7353.0,4472,2451,55440.0,1.6442307692307692,0.0442091592864486,1,1.8504040467351413,2.0552152825897547
HF_L4_004,2023-03-08,8360.0,4066,1634,47268.0,2.05607476635514,0.0345681101779178,1,1.9052531351371635,1.9964500602731303
HF_L4_004,2023-03-09,4530.0,2970,1920,37248.0,1.5252525252525253,0.0515450079196756,1,1.6276671486904175,1.8375395263625969
HF_L4_004,2023-03-10,4503.0,1653,1349,20536.0,2.7241379310344827,0.0656863222476505,1,1.6850836785207406,1.9128026253325925
HF_L4_004,2023-03-11,5616.0,2808,1224,28556.0,2.0,0.042861645130791,1,1.7945629842617288,1.925407667349399
HF_L4_004,2023-03-12,4175.0,2275,1675,32312.0,1.835164835164835,0.0518367220623278,1,1.8628518382648684,1.911848012718316
HF_L4_004,2023-03-13,7735.0,2695,2380,40576.0,2.8701298701298703,0.0586539172437587,1,2.0935700995953748,2.009303922982108
HF_L4_004,2023-03-14,4805.0,3627,2139,39096.0,1.3247863247863247,0.0547100800572934,1,2.047935178960454,1.949169612847798
HF_L4_004,2023-03-15,7488.0,3924,1800,42260.0,1.908256880733945,0.0425924611343792,1,2.026818338157426,1.9660357366472951
HF_L4_004,2023-03-16,8976.0,4352,2448,38348.0,2.0625,0.0638347805679418,1,2.103567977407065,1.8656175630487415
HF_L4_004,2023-03-17,7752.0,3706,2176,37200.0,2.091743119266055,0.0584930512620628,1,2.0132258614401475,1.849154769980444
HF_L4_004,2023-03-18,6438.0,3016,1972,34616.0,2.1346153846153846,0.0569662304648005,1,2.0324566306709166,1.9135098074663224
HF_L4_004,2023-03-19,4824.0,3600,2052,40424.0,1.34,0.050760667903525,1,1.96171879707594,1.912285317670404
HF_L4_004,2023-03-20,8282.0,3977,2378,52900.0,2.082474226804124,0.044951891268596,1,1.8491965623151192,1.9713833309552469
HF_L4_004,2023-03-21,10340.0,3256,3388,55540.0,3.175675675675676,0.0609999819952827,1,2.1136093267278837,2.080772252844169
HF_L4_004,2023-03-22,6976.0,3680,1536,39920.0,1.8956521739130436,0.0384759900804088,1,2.1118086543248973,2.0693134962411617
HF_L4_004,2023-03-23,4590.0,3810,1860,29372.0,1.204724409448819,0.0633234603207026,1,1.9892692842461572,2.046418630826611
HF_L4_004,2023-03-24,8282.0,4387,2747,48436.0,1.88785046728972,0.0567128434874166,1,1.9601417625352524,1.9866838119877
HF_L4_004,2023-03-25,3828.0,3596,2320,37044.0,1.064516129032258,0.0626265352949115,1,1.8072704403090916,1.919863535490004
HF_L4_004,2023-03-26,4498.0,3224,1430,29176.0,1.3951612903225807,0.0490112074579291,1,1.8151506246408888,1.8884347108584143
HF_L4_004,2023-03-27,4020.0,3960,1650,30792.0,1.0151515151515151,0.0535836066638521,1,1.662675951547659,1.7559362569313888
HF_L4_004,2023-03-28,10120.0,4240,3080,44736.0,2.3867924528301887,0.0688468158347676,1,1.5499783482840177,1.8317938375059504
HF_L4_004,2023-03-29,6902.0,3074,1827,38748.0,2.2452830188679247,0.0471496038607447,1,1.5999256118490008,1.8558671330869487
HF_L4_004,2023-03-30,10080.0,3924,2664,40004.0,2.568807339449541,0.0665916760404949,1,1.794794601849104,1.892031943047631
HF_L4_004,2023-03-31,6534.0,4323,2079,39752.0,1.5114503816793894,0.0522979397781299,1,1.7410231610476283,1.85058246179144
HF_L4_004,2023-04-01,6798.0,2640,2079,37020.0,2.575,0.056157316117879,1,1.9568065711858773,1.8820385057474844
HF_L4_004,2023-04-02,6240.0,3168,1856,36952.0,1.9696969696969695,0.0502259627093876,1,2.03888309681079,1.9270168607258396
HF_L4_004,2023-04-03,7344.0,4464,2808,47328.0,1.6451612903225807,0.0593293752244923,1,2.1288844932638,1.8957802224057287
HF_L4_004,2023-04-04,6384.0,5092,2356,46096.0,1.2537313432835822,0.0511096166778749,1,1.9670186204714268,1.7584984843777225
HF_L4_004,2023-04-05,10234.0,4902,2322,48416.0,2.087719298245614,0.0479583617324493,1,1.9445095175253824,1.7722175646871918
HF_L4_004,2023-04-06,4140.0,3690,1830,38388.0,1.1219512195121952,0.0476699054416629,1,1.7378157861057617,1.7663051939774328
HF_L4_004,2023-04-07,7800.0,3180,2220,32400.0,2.452830188679245,0.068516403814697,1,1.87229861567717,1.8066608883623991
HF_L4_004,2023-04-08,3230.0,1805,1520,24176.0,1.7894736842105263,0.0628696695206187,1,1.7600805705643876,1.858443570875132
HF_L4_004,2023-04-09,6572.0,3720,1984,35292.0,1.7666666666666666,0.0562151134785934,1,1.731076241560059,1.8849796691854244
HF_L4_004,2023-04-10,6878.0,4370,1862,47700.0,1.5739130434782609,0.0390348210729334,1,1.7208979205822987,1.9248912069230488
HF_L4_004,2023-04-11,6039.0,2904,1518,36052.0,2.0795454545454546,0.0421046792222561,1,1.8388713650482809,1.9029449927598532
HF_L4_004,2023-04-12,5344.0,3776,1856,39040.0,1.4152542372881356,0.0475397658871442,1,1.7428049277686406,1.843657222647012
HF_L4_004,2023-04-13,5572.0,2996,1876,30532.0,1.8598130841121496,0.0614417187960567,1,1.848213765568634,1.793014775837198
HF_L4_004,2023-04-14,10560.0,4400,2600,51544.0,2.4,0.0504413619167717,1,1.8406665957573127,1.8564826057172417
HF_L4_004,2023-04-15,6496.0,3306,2552,36984.0,1.9649122807017545,0.069000946329593,1,1.8657292523989173,1.8129049114816524
HF_L4_004,2023-04-16,5348.0,2436,1960,38952.0,2.1954022988505746,0.0503170487510589,1,1.9269771998537613,1.82902672070691
HF_L4_004,2023-04-17,5208.0,2632,1624,31060.0,1.9787234042553192,0.0522842149319081,1,1.9848072513933408,1.85285258598782
HF_L4_004,2023-04-18,5278.0,3458,1222,35972.0,1.5263157894736843,0.0339699218858588,1,1.905774442097374,1.8723229035728275
HF_L4_004,2023-04-19,4914.0,2214,1836,31672.0,2.2195121951219514,0.0579673538976415,1,2.0206684360736333,1.881736681921137
HF_L4_004,2023-04-20,6670.0,2784,1943,39284.0,2.395833333333333,0.0494590810742013,1,2.097242757390945,1.9727282614797896
HF_L4_004,2023-04-21,8888.0,4400,2640,57444.0,2.02,0.0459570023500739,1,2.0429570431052317,1.941811819431272
HF_L4_004,2023-04-22,8277.0,3906,1829,38188.0,2.119047619047619,0.0478933724370892,1,2.064976377154641,1.965352814776779
HF_L4_004,2023-04-23,7144.0,4408,2242,49688.0,1.6206896551724137,0.0451206504457727,1,1.982874570914903,1.954925885384332
HF_L4_004,2023-04-24,7220.0,3078,2888,36392.0,2.345679012345679,0.0793559200945236,1,2.0352968006420973,2.010052026017719
HF_L4_004,2023-04-25,8979.0,4920,2870,46432.0,1.825,0.0618094889410548,1,2.077965973574428,1.9918702078359007
HF_L4_004,2023-04-26,8748.0,3528,2232,44772.0,2.479591836734694,0.0498514729859513,1,2.1151202080905342,2.067894322082084
HF_L4_004,2023-04-27,9040.0,3480,3640,51816.0,2.5977011494252875,0.0702472161645792,1,2.1439584675322423,2.120600612461593
HF_L4_004,2023-04-28,8600.0,3160,2640,52684.0,2.721518987341772,0.0501091392236879,1,2.244175465723924,2.1435662544145773
HF_L4_004,2023-04-29,7216.0,4268,1980,57352.0,1.690721649484536,0.0345230415148292,1,2.182986041500626,2.123981209327633
HF_L4_004,2023-04-30,9205.0,3045,1995,44744.0,3.022988505747126,0.0445859872611464,1,2.383314448725585,2.183094509820244
HF_L4_004,2023-05-01,4810.0,4181,2738,48736.0,1.1504424778761062,0.0561790836530767,1,2.212566372372789,2.1239315865074437
HF_L4_004,2023-05-02,5848.0,3706,2142,44332.0,1.5779816513761469,0.0483161527530282,1,2.177278036855096,2.1276220052147616
HF_L4_004,2023-05-03,6448.0,2635,1488,39172.0,2.447058823529412,0.0379853470502642,1,2.172630463540055,2.1438753358152947
HF_L4_004,2023-05-04,5544.0,2232,1824,31448.0,2.4838709677419355,0.0579986645044357,1,2.1563690090138623,2.150163738273052
HF_L4_004,2023-05-05,10728.0,3096,2484,45476.0,3.4651162790697674,0.0546210172174945,1,2.2625971935464326,2.253386329635178
HF_L4_004,2023-05-06,6664.0,3434,1360,41924.0,1.9405940594059403,0.0324388789505068,1,2.298293252106634,2.24063964680363
HF_L4_004,2023-05-07,6300.0,2436,2212,25544.0,2.586206896551724,0.0865922881190056,1,2.235895879364433,2.309605164045009
HF_L4_004,2023-05-08,8384.0,3168,2080,44012.0,2.646464646464646,0.0472587644559562,1,2.44961333201994,2.331089852196364
HF_L4_004,2023-05-09,7337.0,2668,1740,28728.0,2.75,0.0605659786278673,1,2.6170445246804896,2.3971612807677927
HF_L4_004,2023-05-10,11680.0,3800,2320,47184.0,3.073684210526316,0.0491681678499523,1,2.7065624371086185,2.439596450324337
HF_L4_004,2023-05-11,5174.0,2236,1612,32428.0,2.313953488372093,0.0497085941595485,1,2.682288511484355,2.4193287602491087
HF_L4_004,2023-05-12,6549.0,4366,2516,48992.0,1.5,0.0513542751005245,1,2.4015576144743886,2.3320774040104104
HF_L4_004,2023-05-13,7140.0,3120,1560,30268.0,2.2884615384615383,0.0515378770359113,1,2.4512529686251883,2.374773110365911
HF_L4_004,2023-05-14,5520.0,2256,1368,21536.0,2.4468085106382977,0.0635185959047221,1,2.4313389134946988,2.3336173964295663
HF_L4_004,2023-05-15,5520.0,2460,2430,39532.0,2.2439024390243905,0.0614676346343561,1,2.37383002671752,2.411721679368729
HF_L4_004,2023-05-16,9216.0,3312,2484,45916.0,2.782608695652174,0.0540976109066358,1,2.378488411810687,2.497766468245588
HF_L4_004,2023-05-17,7260.0,4125,2145,41860.0,1.76,0.0512410119204032,1,2.190819238878356,2.4486908379934875
HF_L4_004,2023-05-18,7632.0,3780,3096,41068.0,2.019047619047619,0.0753853271323869,1,2.14868982897486,2.415489170229608
HF_L4_004,2023-05-19,6834.0,3740,2618,40640.0,1.8272727272727276,0.0644177062572279,1,2.1954430757281065,2.298500345101248
HF_L4_004,2023-05-20,8325.0,3515,2664,47780.0,2.3684210526315788,0.0557543793558108,1,2.206865863466684,2.329059416045936
HF_L4_004,2023-05-21,6392.0,3808,2278,44832.0,1.6785714285714286,0.0508107866972988,1,2.0971177088857025,2.264228311190201
HF_L4_004,2023-05-22,6086.0,3638,2448,39280.0,1.6728971962616823,0.0623202056974109,1,2.015545531348173,2.1946877790328463
HF_L4_004,2023-05-23,9554.0,3264,2176,40616.0,2.927083333333333,0.0535736268065095,1,2.0361847653026244,2.207336588556656
HF_L4_004,2023-05-24,4374.0,2727,1863,36344.0,1.603960396039604,0.0512587701196863,1,2.013893393308282,2.102356316093319
HF_L4_004,2023-05-25,3969.0,2322,1809,26912.0,1.7093023255813953,0.0672165867796232,1,1.9696440656702496,2.059166947322555
HF_L4_004,2023-05-26,7740.0,2550,1590,36484.0,3.0352941176470587,0.0435795532410579,1,2.14221855000944,2.168830812868773
HF_L4_004,2023-05-27,7112.0,2856,2072,35600.0,2.4901960784313726,0.0582006123423499,1,2.1596149822665534,2.1832404228666187
HF_L4_004,2023-05-28,4422.0,2486,1584,22460.0,1.7787610619469028,0.0705222385468144,1,2.1739277870344784,2.1355227479600907
HF_L4_004,2023-05-29,7104.0,3040,1760,44588.0,2.336842105263158,0.0394716185606315,1,2.268777059748975,2.142161295548574
HF_L4_004,2023-05-30,9718.0,4558,2795,53216.0,2.1320754716981134,0.0525208110190352,1,2.155204508086801,2.0956946366947125
HF_L4_004,2023-05-31,5775.0,2673,2508,45004.0,2.1604938271604937,0.0557271414287301,1,2.2347092839612137,2.124301338634748
HF_L4_004,2023-06-01,5644.0,2958,2244,38516.0,1.908045977011494,0.0582599890957239,1,2.263101234165513,2.116372649917882
HF_L4_004,2023-06-02,5967.0,3186,1431,34872.0,1.8728813559322035,0.041034611303874,1,2.0970422682062484,2.119630409107844
HF_L4_004,2023-06-03,5103.0,2310,1281,26104.0,2.209090909090909,0.0490710591840643,1,2.0568843868718965,2.1082496845692247
HF_L4_004,2023-06-04,5382.0,3354,2535,48164.0,1.6046511627906976,0.0526315789473684,1,2.032011544135296,2.102969665584887
HF_L4_004,2023-06-05,6364.0,3663,1924,45236.0,1.7373737373737377,0.0425315560271459,1,1.9463732058653784,2.107575132807177
HF_L4_004,2023-06-06,5642.0,3068,1664,34288.0,1.8389830508474576,0.0485286826679109,1,1.9045028600295704,2.029853684058186
HF_L4_004,2023-06-07,7350.0,3325,2170,44088.0,2.210526315789474,0.049218625961124,1,1.911650358405139,2.073179821183176
HF_L4_004,2023-06-08,8892.0,4104,2850,45760.0,2.1666666666666665,0.0622801075151329,1,1.9485961712130209,2.105848702689267
HF_L4_004,2023-06-09,6264.0,3132,1620,43664.0,2.0,0.0371006526966678,1,1.96675597750842,2.031899122857334
HF_L4_004,2023-06-10,7622.0,4477,2479,46172.0,1.7024793388429753,0.0536893855716544,1,1.8943828960444296,1.975633641458163
HF_L4_004,2023-06-11,6656.0,2432,1632,40188.0,2.736842105263158,0.0406081266018064,1,2.0561244592547814,2.0440680016950386
HF_L4_004,2023-06-12,9894.0,4148,2278,32180.0,2.3852459016393444,0.0707871104067617,1,2.1486776255784394,2.047525415721909
HF_L4_004,2023-06-13,5984.0,4532,2244,50064.0,1.3203883495145632,0.0448217317487266,1,2.074592668245169,1.9895477641373696
HF_L4_004,2023-06-14,8092.0,3672,2006,36420.0,2.203703703703704,0.0550781142747316,1,2.073618009375773,1.992634183890456
HF_L4_004,2023-06-15,7004.0,3162,1632,45052.0,2.21505376344086,0.0362240028410982,1,2.0805304517720864,2.0145633114925534
HF_L4_004,2023-06-16,9040.0,3960,3120,48428.0,2.282828282828283,0.0644242086353218,1,2.1209344921761266,2.0438452348422738
HF_L4_004,2023-06-17,9102.0,3478,2257,52516.0,2.617021276595745,0.0429765599710569,1,2.251583340426522,2.0729831182354763
HF_L4_004,2023-06-18,7168.0,2940,1484,30832.0,2.4380952380952383,0.0481302500567573,1,2.208905216545391,2.1325148379000862
HF_L4_004,2023-06-19,5495.0,3360,1960,39040.0,1.6354166666666667,0.0502036320790963,1,2.101786754406437,2.1252321899924382
HF_L4_004,2023-06-20,7584.0,3680,1856,36172.0,2.0608695652173914,0.0513089873662676,1,2.207569785221127,2.141081226733148
HF_L4_004,2023-06-21,11051.0,4042,2623,58884.0,2.734042553191489,0.0445444510486541,1,2.283332478005096,2.1784752436904347
HF_L4_004,2023-06-22,9758.0,4961,2747,52120.0,1.966942148760331,0.0527042842616219,1,2.247887961622163,2.164209206697125
HF_L4_004,2023-06-23,8140.0,3737,2294,43968.0,2.1782178217821784,0.0521731219722986,1,2.2329436100441487,2.176939051110138
HF_L4_004,2023-06-24,6256.0,2576,1541,26668.0,2.4285714285714284,0.0577824440361468,1,2.206022203183532,2.2288027718050274
HF_L4_004,2023-06-25,6697.0,4551,1628,45520.0,1.4715447154471544,0.0357637134509347,1,2.067943557090949,2.13842438681817
HF_L4_004,2023-06-26,6235.0,2668,1711,36472.0,2.3369565217391304,0.0469114139226276,1,2.168163536387015,2.1349751453967256
HF_L4_004,2023-06-27,6513.0,3432,2886,47620.0,1.8977272727272727,0.0606035152558745,1,2.144857494602712,2.176213639911919
HF_L4_004,2023-06-28,7684.0,4012,1802,41888.0,1.915254237288136,0.0430184535319534,1,2.027887735187947,2.1556101065965216
HF_L4_004,2023-06-29,8352.0,2668,1769,38264.0,3.130434782608696,0.0462302365085587,1,2.1941009685948565,2.22099446510851
HF_L4_004,2023-06-30,5043.0,3936,1804,54540.0,1.28125,0.0330760345428209,1,2.06596270834026,2.149453159192204
HF_L4_004,2023-07-01,4865.0,4375,2520,41732.0,1.112,0.0603838688807418,1,1.8778810756871984,2.041951639435365
HF_L4_004,2023-07-02,6380.0,2929,1624,36940.0,2.1782178217821784,0.0439619934490132,1,1.9788343765922016,2.023388966841575
HF_L4_004,2023-07-03,7293.0,3828,1650,40124.0,1.9051724137931036,0.0411214953271028,1,1.917150932599912,2.0426572344934635
HF_L4_004,2023-07-04,8160.0,2272,1696,45328.0,3.591549295774648,0.0374153411723179,1,2.159125507320966,2.151991500961839
HF_L4_004,2023-07-05,4170.0,2700,1200,37860.0,1.5444444444444445,0.0316948839174876,1,2.106152679771867,2.067020207479908
HF_L4_004,2023-07-06,8225.0,3675,2310,43156.0,2.238095238095238,0.0535254999189007,1,1.9786756019842304,2.0863882852895435
HF_L4_004,2023-07-07,6732.0,3036,2310,36288.0,2.217391304347826,0.0636556532282509,1,2.11241007403392,2.0891863911870896
HF_L4_004,2023-07-08,12169.0,4042,2623,53396.0,3.0106382978723403,0.0491226098844504,1,2.383644116587111,2.130762596137155
HF_L4_004,2023-07-09,7210.0,3045,2135,44928.0,2.367816091954023,0.0475194195285895,1,2.410729583754517,2.19478198017336
HF_L4_004,2023-07-10,5319.0,3483,1728,29412.0,1.5271317829457365,0.0587495325196341,1,2.356723779347751,2.136937355973832
HF_L4_004,2023-07-11,7525.0,2975,2345,40760.0,2.5294117647058822,0.0575304825691224,1,2.204989846337927,2.182057676829446
HF_L4_004,2023-07-12,7080.0,2760,1740,39280.0,2.565217391304348,0.0442962246378656,1,2.350814553032199,2.228483616402033
HF_L4_004,2023-07-13,4408.0,2755,1914,35524.0,1.6,0.0538775510204081,1,2.2596580904471653,2.119166846215698
HF_L4_004,2023-07-14,10472.0,3564,2420,46904.0,2.938271604938272,0.0515936467327577,1,2.3626409905315144,2.237525532282717
HF_L4_004,2023-07-15,7176.0,2938,1716,34328.0,2.4424778761061945,0.0499868915494188,1,2.281475215993493,2.3325596662903023
HF_L4_004,2023-07-16,3700.0,3300,1550,26128.0,1.121212121212121,0.0593210608901986,1,2.1033889344589363,2.257059259106727
HF_L4_004,2023-07-17,10633.0,4949,2793,61780.0,2.1485148514851486,0.0452080736796102,1,2.192157944250281,2.274440861799016
HF_L4_004,2023-07-18,8424.0,3348,2124,40476.0,2.5161290322580645,0.0524742446327544,1,2.19026041104345,2.1976251286906887
HF_L4_004,2023-07-19,9424.0,2546,2546,42932.0,3.701492537313433,0.0593017026529709,1,2.35258543190189,2.3516999924670445
HF_L4_004,2023-07-20,4524.0,2320,2291,34520.0,1.95,0.0663654007705454,1,2.4025854319018904,2.331121761174528
HF_L4_004,2023-07-21,6916.0,3556,1736,32336.0,1.94488188976378,0.0536846337013328,1,2.260672615448392,2.3116568029899534
HF_L4_004,2023-07-22,7140.0,3672,1734,43504.0,1.9444444444444444,0.0398574876450982,1,2.189524982353856,2.235500099173674
HF_L4_004,2023-07-23,7821.0,2970,2673,41388.0,2.6333333333333333,0.0645823769600618,1,2.4055422983711714,2.2544656164150543
HF_L4_004,2023-07-24,7774.0,5106,4002,61020.0,1.5225225225225223,0.0655839792858196,1,2.3161148228050825,2.254136383527682
HF_L4_004,2023-07-25,3999.0,3038,2263,32872.0,1.316326530612245,0.0688406899279043,1,2.1447144654271084,2.167487438235279
